"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,10,9,4,8,5,6,6,10,3,8,5,5,3,3,6,8,5,1,6,2,7,9,8,8
2,9,6,3,7,3,10,3,2,1,4,8,4,10,9,1,4,3,2,7,7,9,2,4,5
3,6,9,6,3,5,7,2,3,6,9,8,7,7,4,10,5,4,9,9,7,1,7,2,9
4,5,2,1,9,3,6,5,1,3,1,3,10,3,3,6,5,7,1,2,10,10,4,2,7
5,10,1,1,8,10,3,6,3,8,4,4,10,10,5,9,4,6,9,7,3,7,1,1,1
6,8,4,9,7,2,1,9,2,1,2,6,9,9,7,4,6,7,1,1,7,10,6,8,9
7,8,1,3,9,1,9,9,5,8,3,6,8,1,6,2,1,5,1,5,3,8,6,10,8
8,9,7,2,3,8,5,2,9,3,6,2,9,10,10,4,7,6,8,1,9,4,10,8,3
9,2,3,5,9,8,9,9,8,8,4,3,2,5,8,2,1,5,6,6,6,7,8,10,8
10,8,10,9,6,9,10,2,10,2,4,10,2,10,6,8,4,9,7,3,3,9,3,8,8
11,3,3,7,2,6,9,3,6,2,7,7,7,1,2,3,6,9,5,1,8,7,6,6,8
12,9,10,1,9,6,2,5,2,9,10,2,3,6,8,1,2,7,4,7,8,3,7,7,8
13,1,6,2,9,10,10,7,3,10,10,3,2,1,3,3,4,3,9,2,5,3,4,1,1
14,2,7,4,6,5,2,2,9,5,2,7,7,8,8,6,5,6,1,7,8,2,2,6,1
15,5,10,5,9,5,1,7,8,3,7,3,8,1,3,3,4,3,7,8,8,10,7,8,2
16,8,2,1,4,10,3,10,9,2,9,3,3,6,1,2,8,5,10,1,1,5,1,10,1
17,4,3,8,5,4,6,4,3,2,3,2,3,2,7,7,8,10,10,2,1,7,3,4,8
18,10,2,1,5,3,2,9,4,3,2,8,1,1,7,5,6,8,6,2,3,3,7,4,4
19,9,1,2,6,7,2,1,5,3,5,2,10,3,2,10,1,7,6,3,2,1,4,4,4
20,10,7,7,1,7,10,4,9,2,4,9,5,9,4,5,4,6,1,2,9,4,6,1,8
21,8,1,4,4,10,2,9,4,2,10,5,5,9,5,10,9,6,4,5,8,3,9,6,4
22,5,2,8,4,3,10,5,10,6,2,5,10,8,10,4,5,6,2,5,2,8,3,10,3
23,6,4,5,8,6,3,7,7,7,7,3,7,10,4,10,10,5,1,3,7,3,7,7,2
24,10,4,6,2,9,8,7,5,10,4,4,3,9,8,9,2,3,4,4,3,9,6,6,6
25,10,2,8,1,3,4,1,4,3,7,10,5,9,6,9,4,4,9,5,2,3,9,10,3
26,3,3,4,4,3,6,10,7,10,2,1,7,4,9,7,6,7,10,5,2,4,5,9,3
27,9,3,1,7,4,6,9,1,7,10,1,8,5,7,8,2,4,2,4,5,6,1,1,10
28,6,2,10,6,4,6,2,4,8,6,10,6,8,5,6,10,2,10,6,10,10,6,5,5
29,2,9,7,4,2,6,5,5,4,5,10,9,4,9,4,8,7,10,1,8,3,4,9,1
30,10,1,7,1,4,7,9,2,6,1,5,7,9,8,10,7,10,10,8,6,8,2,8,3
31,8,2,7,9,5,1,3,8,2,2,10,2,9,9,1,10,9,4,3,4,1,3,3,10
32,7,7,7,3,9,9,10,5,5,1,9,8,9,4,2,8,6,2,8,3,4,6,10,9
33,1,5,6,1,8,1,10,1,4,1,1,2,2,10,3,2,9,1,3,1,1,7,6,3
34,10,1,2,3,2,6,9,5,7,6,3,3,7,9,2,10,10,8,3,10,6,3,3,8
35,6,7,4,6,7,2,4,6,3,1,5,4,8,7,5,8,4,5,5,5,8,5,4,1
36,1,10,3,3,3,1,10,2,2,8,10,3,3,6,3,7,5,3,2,7,1,2,4,8
37,3,6,5,8,7,4,1,4,10,9,3,8,6,9,8,7,4,8,4,9,7,9,6,7
38,1,9,5,8,7,1,9,8,10,3,7,7,9,2,3,1,8,6,1,1,8,8,7,4
39,7,5,1,4,2,2,3,1,7,4,6,5,10,3,2,2,6,6,10,9,1,2,9,5
40,2,7,1,7,1,7,4,8,4,7,1,1,5,5,2,2,8,5,1,10,9,5,5,6
41,3,1,10,9,4,10,8,1,5,8,9,2,8,5,6,3,7,10,1,5,6,10,9,1
42,1,5,3,5,3,10,1,10,7,8,2,5,1,9,7,6,6,2,2,8,10,1,5,1
43,4,1,1,10,1,9,9,7,7,7,6,6,7,8,9,2,5,7,4,7,8,5,9,3
44,4,5,5,1,9,5,5,9,1,2,5,8,4,4,7,3,8,3,2,5,10,4,3,2
45,2,4,4,3,9,2,10,10,1,2,4,3,8,6,4,9,9,3,4,8,4,10,2,6
46,1,1,10,10,10,8,6,4,6,9,4,1,6,5,7,4,3,2,5,2,9,3,2,6
47,8,7,9,10,9,8,6,9,6,2,9,1,5,8,6,6,9,8,4,5,6,3,1,1
48,4,2,2,4,7,10,10,10,7,5,7,1,1,4,10,6,8,7,3,10,5,5,4,3
49,9,3,5,10,10,2,3,9,2,10,7,6,6,4,8,6,1,8,4,1,6,6,9,9
50,7,3,4,3,5,7,7,8,1,4,2,7,7,10,8,4,5,2,5,9,2,3,4,2
