"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,9,5,3,10,4,6,5,1,2,3,9,4,6,3,6,1,5,2,5,5,6,1,7,1
2,10,1,8,7,3,3,6,7,6,8,7,6,2,7,3,6,3,8,2,5,7,6,3,10
3,10,10,8,1,2,3,3,8,2,2,8,6,4,4,7,9,4,4,5,7,4,4,2,9
4,5,2,5,3,6,1,10,5,9,5,5,8,8,3,4,2,4,5,7,1,2,3,9,3
5,7,2,10,10,2,5,1,9,1,8,5,1,10,2,2,5,10,7,5,3,6,10,7,5
6,9,8,1,6,8,1,8,5,1,9,7,2,1,4,4,6,3,1,4,9,7,9,9,5
7,8,1,7,2,8,1,2,7,10,10,6,3,7,2,5,6,6,6,7,8,5,2,8,5
8,4,9,10,2,5,6,4,4,9,2,5,5,3,8,7,6,5,1,5,1,6,1,5,9
9,5,1,3,1,6,4,3,4,7,1,5,3,8,4,5,10,10,4,4,10,2,6,2,7
10,8,2,10,7,4,5,3,10,5,4,5,5,5,1,9,4,8,4,2,1,6,7,8,7
11,5,4,3,3,4,10,10,4,5,4,6,1,10,8,2,5,1,7,3,9,10,5,6,3
12,5,8,8,10,4,7,7,1,7,5,9,4,7,1,8,1,9,4,7,1,10,3,8,1
13,9,2,7,7,1,3,1,9,3,7,7,5,8,4,8,8,5,2,1,6,1,7,1,10
14,5,8,5,3,3,3,2,8,6,2,8,1,4,7,1,1,4,5,10,10,2,9,4,8
15,3,2,5,10,10,2,6,5,8,3,6,4,4,4,4,7,9,3,3,1,7,9,7,8
16,1,3,1,4,3,1,6,7,9,4,7,7,5,8,2,5,2,2,2,6,7,4,7,1
17,2,2,1,3,8,6,8,3,4,1,8,4,7,7,6,1,8,2,3,7,6,7,3,2
18,8,9,5,9,6,1,1,8,8,6,3,5,5,2,4,6,1,5,6,4,2,6,8,5
19,10,2,6,3,5,4,7,6,10,9,8,7,8,7,8,5,7,4,4,8,7,9,7,3
20,7,4,8,2,9,9,9,3,9,4,6,7,9,9,6,8,4,9,9,5,8,10,1,3
21,2,8,4,3,7,9,2,10,8,6,3,1,10,8,10,8,7,9,5,4,2,1,6,5
22,2,2,5,2,10,2,3,9,5,4,6,2,4,3,9,7,1,1,3,1,9,8,1,5
23,7,4,10,1,3,7,8,9,4,1,4,10,7,6,4,9,4,5,9,10,5,9,6,8
24,3,6,8,2,6,2,10,8,6,7,1,1,10,4,6,1,4,10,2,3,8,1,4,3
25,5,9,5,7,1,4,2,7,2,2,5,1,9,7,7,4,10,10,9,8,3,1,5,3
