"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,9,5,7,3,2,4,2,8,2,1,10,8,7,4,3,9,5,10,3,8,1,10,2,9
2,8,6,9,6,1,4,7,10,6,5,4,3,8,10,1,1,1,2,2,1,9,7,2,6
3,6,6,8,5,3,9,3,6,9,6,7,2,6,8,8,6,3,4,5,7,7,4,3,10
4,5,2,2,10,4,4,8,1,10,7,3,4,7,3,6,5,7,1,7,7,8,5,5,3
5,2,8,8,6,3,7,6,9,5,4,1,10,2,4,6,4,5,1,7,1,7,6,4,5
6,4,2,9,4,6,10,10,10,8,7,5,9,6,8,9,1,6,3,4,4,7,1,9,5
7,6,5,2,2,3,4,2,9,3,2,3,8,6,9,9,2,9,9,4,2,7,2,7,10
8,10,9,10,9,10,7,10,10,4,9,3,2,9,5,2,7,9,1,8,10,8,4,2,1
9,2,6,4,2,4,2,3,8,5,1,9,7,7,3,8,2,9,1,8,6,3,7,2,3
10,9,8,10,6,5,6,4,10,4,5,7,7,7,6,4,6,7,2,5,4,1,4,7,8
11,8,8,7,3,1,9,8,6,9,7,4,6,9,3,5,7,9,6,2,1,9,5,1,3
12,2,10,10,5,1,7,1,8,7,8,5,5,6,6,6,6,3,9,9,5,4,6,7,2
13,9,10,8,5,3,8,3,8,1,8,3,9,3,9,6,5,2,3,1,2,10,9,1,1
14,4,8,4,1,1,10,9,8,9,3,6,6,6,6,4,7,8,5,5,10,8,7,3,5
15,9,1,7,5,4,6,7,3,3,7,6,3,6,4,10,10,9,6,8,5,8,2,4,9
16,1,6,7,2,10,3,9,10,7,4,1,5,8,1,10,9,8,5,4,1,1,4,5,9
17,4,10,5,4,1,8,7,3,10,8,4,7,9,6,8,5,8,5,4,6,8,5,1,4
18,1,4,1,1,1,3,1,6,4,2,6,5,10,5,8,7,5,10,1,10,1,6,4,10
19,3,3,4,4,5,8,6,5,1,3,5,10,8,4,3,7,1,10,3,5,3,4,5,8
20,4,4,4,2,9,6,2,6,10,1,10,1,7,7,9,10,8,2,2,2,6,10,4,4
21,9,7,8,3,1,2,9,2,10,3,5,4,8,1,1,1,7,9,8,2,2,2,6,7
22,1,6,8,10,9,5,8,6,4,8,2,1,1,2,2,8,7,4,3,9,6,8,1,4
23,9,1,10,10,7,8,3,8,9,6,9,3,1,7,9,9,4,4,3,9,3,9,8,2
24,9,2,5,1,8,3,2,2,2,7,2,10,9,8,8,4,3,8,10,8,8,1,3,9
