"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,10,6,4,4,7,7,9,3,6,1,6,9,1,4,1,7,7,7,9,7,3,2,4,4
2,7,9,6,6,2,5,7,2,8,9,2,3,5,5,7,4,6,3,3,9,4,1,6,10
3,2,4,7,1,1,1,4,3,10,5,1,1,4,5,2,9,6,8,6,3,8,6,6,9
4,5,1,7,3,10,6,3,5,1,8,3,2,5,8,3,2,1,8,2,3,8,4,9,10
5,5,4,2,5,9,7,1,9,9,6,7,5,9,5,4,3,8,9,3,10,4,9,3,9
6,2,7,6,7,9,8,10,1,8,7,8,8,3,2,9,10,9,8,10,10,3,2,10,6
7,2,3,5,8,7,9,9,2,3,10,6,8,10,10,6,5,1,4,5,3,10,8,1,7
8,1,3,3,3,9,4,8,9,1,9,8,8,5,7,8,9,4,4,5,9,9,4,3,10
9,7,10,9,1,10,6,9,1,1,3,3,2,8,9,3,5,8,5,4,9,1,4,6,10
10,4,8,5,8,3,6,5,7,4,6,5,6,4,4,6,8,5,8,4,2,8,9,2,8
11,8,9,5,7,1,4,8,5,2,5,2,1,4,9,5,8,7,9,5,1,8,9,4,5
12,6,7,4,1,5,8,3,10,9,1,8,8,10,2,6,5,6,9,6,8,2,4,10,6
13,1,10,8,2,5,9,6,7,8,5,5,10,2,2,2,2,2,3,6,2,4,1,9,4
14,10,2,1,10,5,8,6,4,7,4,4,3,1,8,6,10,7,4,4,9,1,7,8,1
15,3,3,10,1,10,8,10,7,3,7,5,10,10,2,3,2,9,2,5,6,7,8,3,10
16,3,3,10,7,4,8,7,6,2,10,1,8,5,4,1,10,3,1,10,2,7,2,1,2
17,6,8,6,5,4,10,6,1,8,1,3,3,7,9,1,6,5,3,2,8,5,6,3,7
18,1,10,3,1,5,1,2,3,1,5,2,9,3,10,5,10,8,1,1,2,5,9,4,10
19,1,5,5,9,9,3,4,7,5,9,5,5,1,1,1,6,6,7,7,8,2,8,2,3
20,3,6,10,7,5,3,6,2,6,8,8,1,8,6,7,2,6,10,1,2,7,7,6,8
21,3,1,3,10,10,6,6,4,7,4,6,9,9,2,1,5,5,8,1,4,5,1,10,8
22,9,8,10,1,2,5,9,7,7,5,9,7,2,6,6,8,7,7,9,7,3,5,5,9
23,8,4,3,1,6,2,5,7,2,3,2,10,6,8,2,7,10,9,3,2,9,6,3,9
24,1,6,1,1,6,6,1,9,4,1,9,3,10,7,5,7,1,7,5,10,3,5,4,6
25,5,3,6,9,10,3,5,1,7,1,10,10,10,9,2,6,7,6,4,10,6,4,1,7
26,1,9,4,10,8,1,10,8,5,1,5,8,10,8,8,7,7,1,10,7,10,1,10,2
